Slot_ID,Status
1,Available
2,Available
3,Available
4,Available
5,Available
6,Available
7,Available
8,Available
9,Available
10,Available
11,Available
12,Available
13,Available
14,Occupied
15,Available
16,Occupied
17,Available
18,Available
19,Available
20,Available
21,Available
22,Available
23,Available
24,Available
25,Available
26,Available
27,Occupied
28,Available
29,Occupied
30,Available
31,Available
32,Available
33,Available
34,Available
35,Occupied
36,Available
37,Available
38,Available
39,Available
40,Occupied
41,Available
42,Available
43,Available
44,Available
45,Occupied
46,Available
47,Available
48,Available
49,Available
50,Available
51,Available
52,Available
53,Occupied
54,Occupied
55,Occupied
56,Available
57,Available
58,Available
59,Available
60,Available
61,Available
62,Available
63,Available
64,Available
65,Available
66,Occupied
67,Available
68,Available
69,Available
70,Available
71,Available
72,Available
73,Available
74,Available
75,Available
76,Available
77,Available
78,Available
79,Occupied
80,Available
81,Available
82,Available
83,Available
84,Available
85,Available
86,Available
87,Available
88,Available
89,Available
90,Available
91,Available
92,Occupied
93,Available
94,Available
95,Occupied
96,Available
97,Available
98,Available
99,Available
100,Available
101,Available
102,Available
103,Available
104,Available
105,Occupied
106,Occupied
107,Occupied
108,Occupied
109,Occupied
110,Available
111,Available
112,Occupied
113,Available
114,Available
115,Available
116,Available
117,Available
118,Occupied
119,Occupied
120,Occupied
121,Occupied
122,Occupied
123,Available
124,Available
125,Available
126,Available
127,Available
128,Available
129,Available
130,Available
131,Occupied
132,Occupied
133,Occupied
134,Occupied
135,Occupied
